picture,picture_link,currency,price,rooms,surface,floor,type,method,city,country,latitude,longitude
https://img3.imonet.ro/X801/80100H2OJKF/apartament-de-vanzare-2-camere-bucuresti-theodor-pallady-74830450_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/theodor-pallady/apartament-de-vanzare-2-camere-X8010000L?lista=2349706,EUR,40600,2,46,1,apartament,buy,Bucuresti,Romania,44.39841188,26.19065202
https://img3.imonet.ro/X78O/78O00H0BBEI/apartament-de-vanzare-2-camere-bucuresti-aparatorii-patriei-72791618_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aparatorii-patriei/apartament-de-vanzare-2-camere-X78O0002U?lista=2349706,EUR,39600,2,36,1,apartament,buy,Bucuresti,Romania,44.3490708,26.13982792
https://img3.imonet.ro/X982/98200H54KK0/apartament-de-vanzare-2-camere-bucuresti-timisoara-76484536_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/timisoara/apartament-de-vanzare-2-camere-X98200003?lista=2349706,EUR,39000,2,52,1,apartament,buy,Bucuresti,Romania,44.44062516,26.11811804
https://img3.imonet.ro/X7S3/7S310000051/garsoniera-de-vanzare-bucuresti-gorjului-76287996_277x208.jpg,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/gorjului/garsoniera-de-vanzare-X7S31001D?lista=2349706,EUR,36500,1,36,1,apartament,buy,Bucuresti,Romania,44.4547179,26.02767075
https://img3.imonet.ro/X55I/55I00GSDFV0/garsoniera-de-vanzare-bucuresti-militari-71430178_277x208.jpg,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/militari/garsoniera-de-vanzare-X55I000NQ?lista=2349706,EUR,33000,1,41,1,apartament,buy,Bucuresti,Romania,44.4466031,26.01688696
https://img3.imonet.ro/X76B/76B00GP8KQ0/garsoniera-de-vanzare-bucuresti-berceni-70010568_277x208.jpg,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/berceni/garsoniera-de-vanzare-X76B0005P?lista=2349706,EUR,26400,1,25,1,apartament,buy,Bucuresti,Romania,44.36717325,26.08448523
https://img3.imonet.ro/X2F7/2F71000AH6I/apartament-de-vanzare-5-camere-bucuresti-primaverii-76508966_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/primaverii/apartament-de-vanzare-5-camere-X2F71001H?lista=2349706,EUR + VAT,574000,5,131,1,apartament,buy,Bucuresti,Romania,44.51241017,26.07932787
https://img3.imonet.ro/X8T9/8T900GPC12E/apartament-de-vanzare-3-camere-bucuresti-floreasca-70640396_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/floreasca/apartament-de-vanzare-3-camere-X8T900001?lista=2349706,EUR,399000,3,128,1,apartament,buy,Bucuresti,Romania,44.48459826,26.12428701
https://img3.imonet.ro/X2F7/2F71000AH76/apartament-de-vanzare-5-camere-bucuresti-aviatorilor-76509574_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatorilor/apartament-de-vanzare-5-camere-X2F710034?lista=2349706,EUR,388800,5,151,1,apartament,buy,Bucuresti,Romania,44.43305736,26.03832735
https://img3.imonet.ro/X0PN/0PN1000AD7F/apartament-de-vanzare-3-camere-bucuresti-dacia-76198422_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/dacia/apartament-de-vanzare-3-camere-X0PN1000T?lista=2349706,EUR,280000,3,119,1,apartament,buy,Bucuresti,Romania,44.42838466,26.2143217
https://img3.imonet.ro/X3AJ/3AJ10002V71/apartament-de-vanzare-sau-de-inchiriat-4-camere-bucuresti-dacia-71006874_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/dacia/apartament-de-vanzare-sau-de-inchiriat-4-camere-X3AJ100LG?lista=2349706,EUR,234500,4,150,1,apartament,buy,Bucuresti,Romania,44.40104851,26.14601737
https://img3.imonet.ro/X38B/38B1000AEOD/apartament-de-vanzare-4-camere-bucuresti-soseaua-nordului-76130246_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/soseaua-nordului/apartament-de-vanzare-4-camere-X38B100A5?lista=2349706,EUR + VAT,230000,4,146,1,apartament,buy,Bucuresti,Romania,44.51212604,26.08661933
https://img3.imonet.ro/X2F7/2F71000AG9T/apartament-de-vanzare-3-camere-bucuresti-floreasca-76363448_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/floreasca/apartament-de-vanzare-3-camere-X2F71007T?lista=2349706,EUR,230000,3,110.31,1,apartament,buy,Bucuresti,Romania,44.38420162,26.12679308
https://img3.imonet.ro/X49U/49U00H4D76B/apartament-de-vanzare-3-camere-bucuresti-baneasa-76116266_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/baneasa/apartament-de-vanzare-3-camere-X49U000B3?lista=2349706,EUR,219200,3,145,1,apartament,buy,Bucuresti,Romania,44.38937324,26.07583116
https://img3.imonet.ro/X3AJ/3AJ10003QNO/apartament-de-vanzare-3-camere-bucuresti-grozavesti-71938940_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/grozavesti/apartament-de-vanzare-3-camere-X3AJ100Q5?lista=2349706,EUR,199000,3,122.51,1,apartament,buy,Bucuresti,Romania,44.49101676,26.09963605
https://img3.imonet.ro/X1UR/1UR10008F15/apartament-de-vanzare-3-camere-bucuresti-herastrau-74863746_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-3-camere-X1UR1000I?lista=2349706,EUR + VAT,193000,3,98,1,apartament,buy,Bucuresti,Romania,44.35639195,26.11561701
https://img3.imonet.ro/X89A/89A1000001J/apartament-de-vanzare-4-camere-bucuresti-basarabia-69285296_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/basarabia/apartament-de-vanzare-4-camere-X89A10018?lista=2349706,EUR,165000,4,125,1,apartament,buy,Bucuresti,Romania,44.38957827,26.09331925
https://img3.imonet.ro/X7VC/7VC10000KVL/apartament-de-vanzare-3-camere-bucuresti-dristor-75981958_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/dristor/apartament-de-vanzare-3-camere-X7VC10050?lista=2349706,EUR,147000,3,125,1,apartament,buy,Bucuresti,Romania,44.49018541,26.16071937
https://img3.imonet.ro/X8KC/8KC00H1BOD0/apartament-de-vanzare-3-camere-bucuresti-calea-calarasilor-73315764_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/calea-calarasilor/apartament-de-vanzare-3-camere-X8KC00006?lista=2349706,EUR + VAT,128900,3,75,1,apartament,buy,Bucuresti,Romania,44.46221234,26.04120103
https://img3.imonet.ro/X98F/98F00H54LD5/apartament-de-vanzare-3-camere-bucuresti-splaiul-unirii-76485428_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/splaiul-unirii/apartament-de-vanzare-3-camere-X98F00002?lista=2349706,EUR,115000,3,84,1,apartament,buy,Bucuresti,Romania,44.37959018,26.00766086
